Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2012-09-10,Breakfast,885.7,45.2,16.5,6.2,11.0,0.0,628.8,1410.9,557.9,65.1,9.4,16.5,60.9,142.9,2.3,53.4,80.4,
2012-09-10,Lunch,736.8,24.6,8.7,0.5,5.9,0.5,165.4,1791.6,2157.3,50.8,13.4,25.7,73.3,479.2,179.1,51.9,49.5,
2012-09-10,Dinner,800.6,28.1,8.1,4.5,10.3,0.7,93.5,1140.2,649.4,78.3,11.2,15.9,70.0,30.3,32.7,42.0,86.7,
2012-09-10,Snacks,496.7,18.1,4.6,0.6,2.1,0.0,20.0,1463.4,227.5,75.5,14.5,25.2,13.9,41.5,40.0,9.3,58.4,
2012-09-11,Breakfast,414.8,12.0,3.4,2.5,4.5,0.0,24.0,772.1,305.7,49.1,5.4,14.5,30.9,16.4,2.3,29.3,59.4,
2012-09-11,Lunch,757.7,22.4,4.7,0.3,3.4,0.0,93.9,2630.2,2269.8,84.0,18.1,38.4,59.1,765.2,254.6,49.1,63.7,
2012-09-11,Dinner,754.0,17.3,6.5,2.3,3.0,0.0,430.0,1072.9,409.8,74.1,10.7,37.5,106.2,57.4,47.6,27.8,12.8,
2012-09-11,Snacks,564.8,13.7,4.2,2.5,5.2,0.0,29.0,815.4,765.7,85.1,8.4,36.8,32.2,18.4,17.3,29.3,62.7,
2012-09-12,Breakfast,444.2,33.8,14.1,3.5,6.5,0.0,610.8,732.1,235.5,11.5,2.7,1.5,28.3,52.5,0.0,62.1,21.0,
2012-09-12,Lunch,311.0,5.9,2.4,0.1,0.0,0.0,61.4,918.1,789.0,33.4,4.2,24.8,27.6,327.7,122.4,15.1,21.3,
2012-09-12,Dinner,1161.7,70.8,4.2,2.8,6.0,0.0,41.3,992.3,341.9,82.7,6.1,14.5,32.9,17.6,2.3,31.4,62.4,
2012-09-12,Snacks,1043.8,29.4,4.7,3.6,4.5,0.0,24.0,1267.1,970.7,162.4,27.4,56.9,51.0,27.9,31.3,38.3,126.4,
2012-09-13,Breakfast,345.9,27.2,12.1,3.2,6.5,0.0,590.8,498.8,202.2,0.0,0.0,0.0,25.0,26.5,0.0,24.1,15.0,
2012-09-13,Lunch,483.5,15.8,1.1,0.5,4.2,0.0,28.4,1575.4,2752.5,69.9,20.3,31.0,29.0,788.7,291.5,37.0,62.4,
2012-09-13,Dinner,1431.7,39.5,8.9,4.7,6.3,0.0,97.0,2196.9,301.3,177.8,29.3,38.4,107.1,28.1,63.5,73.6,116.1,
2012-09-13,Snacks,749.8,28.9,4.7,3.5,4.5,0.0,24.0,1122.1,405.7,86.4,16.9,19.4,47.0,16.4,2.3,36.3,78.4,
2012-09-14,Breakfast,760.7,42.2,15.5,5.7,14.6,0.0,614.8,1270.9,516.9,49.1,5.4,14.5,58.9,42.9,2.3,50.4,71.4,
2012-09-14,Lunch,360.0,19.0,1.5,1.0,0.0,0.0,0.0,360.0,100.0,38.0,12.0,5.0,17.0,0.0,0.0,8.0,20.0,
2012-09-14,Dinner,542.5,17.5,1.3,1.8,0.0,0.0,0.0,354.9,100.0,52.7,10.5,14.0,15.6,0.0,0.0,14.0,17.5,
2012-09-14,Snacks,985.8,23.3,6.9,4.1,6.8,0.0,60.5,1483.1,258.8,122.8,16.5,35.8,80.5,25.9,4.5,59.9,111.9,
2012-09-15,Breakfast,923.5,39.0,6.7,4.1,5.6,0.0,50.0,1325.1,482.2,99.3,18.7,23.1,55.7,37.6,2.8,44.6,94.2,
2012-09-15,Lunch,992.0,46.1,12.3,0.0,0.0,0.0,163.1,2034.8,0.0,80.0,6.3,3.5,60.0,35.0,10.5,43.8,26.3,
2012-09-15,Dinner,947.4,27.1,9.1,0.1,1.7,0.0,120.0,965.5,1077.4,49.9,6.3,5.3,70.2,353.8,119.3,15.5,54.8,
2012-09-15,Snacks,459.7,11.3,0.0,0.1,0.0,0.0,20.0,901.7,217.7,60.5,11.3,32.7,18.0,9.5,19.5,8.0,43.3,
2012-09-16,Breakfast,563.5,20.0,5.2,3.1,5.6,0.0,50.0,965.1,382.2,61.3,6.7,18.1,38.7,37.6,2.8,36.6,74.2,
2012-09-16,Lunch,721.1,23.4,9.5,2.5,4.5,0.0,72.1,1323.4,305.7,77.1,6.3,16.3,51.9,33.9,7.6,51.2,72.5,
2012-09-16,Dinner,686.2,18.7,6.7,3.3,6.0,0.0,253.0,513.8,472.9,31.7,3.5,5.2,46.1,212.5,2.0,24.2,14.5,
2012-09-16,Snacks,376.7,15.1,1.1,1.1,0.0,0.0,0.0,436.7,176.7,52.5,13.3,6.5,17.3,5.0,0.0,6.7,48.0,
2012-09-17,Breakfast,432.3,25.1,9.3,4.0,9.4,0.0,420.5,1634.5,537.9,20.2,0.4,2.3,32.7,20.0,0.0,48.0,18.0,
2012-09-17,Lunch,600.2,33.8,11.4,0.6,6.1,0.0,162.1,1596.0,1817.9,45.3,11.7,8.2,58.3,475.2,165.8,32.7,45.1,
2012-09-17,Dinner,678.4,26.1,2.5,1.5,1.1,0.0,85.1,3119.7,698.0,63.8,18.0,19.4,55.8,1.3,18.8,9.6,35.8,
2012-09-17,Snacks,1215.4,30.9,11.2,5.1,10.5,0.0,75.5,1510.4,285.1,153.0,18.9,51.8,81.0,30.4,22.0,61.6,119.0,
2012-09-18,Breakfast,775.7,40.3,13.0,6.7,12.8,0.0,794.8,1080.9,574.9,50.7,5.4,14.5,58.9,59.9,2.3,41.4,79.4,
2012-09-18,Lunch,495.0,18.2,1.3,1.5,0.0,0.0,0.0,600.0,252.5,73.3,18.0,8.9,22.9,7.5,0.0,8.0,68.5,
2012-09-18,Dinner,1430.7,30.6,10.2,6.3,10.6,0.0,150.5,3530.4,1695.3,158.9,21.4,34.3,126.6,497.7,163.6,90.6,168.0,
2012-09-18,Snacks,165.0,6.9,3.4,0.0,2.8,0.0,20.6,178.8,41.3,24.8,0.0,13.8,1.4,0.0,0.0,0.0,5.5,
2012-09-19,Breakfast,730.7,35.3,12.0,6.7,12.8,0.0,774.8,1080.9,574.9,50.7,5.4,14.5,58.9,42.9,2.3,41.4,79.4,
2012-09-19,Lunch,505.0,20.5,3.0,1.0,0.0,0.0,7.5,402.5,259.0,66.5,17.5,26.0,17.5,3.0,20.0,10.0,23.0,
2012-09-19,Dinner,466.2,24.6,7.5,2.0,2.8,0.0,125.4,1411.0,739.0,36.9,6.8,10.6,38.8,312.0,66.3,16.6,22.2,
2012-09-19,Snacks,850.8,21.0,6.1,4.1,6.8,0.0,60.5,1333.1,258.8,95.8,12.0,23.8,79.0,25.9,4.5,59.9,111.9,
2012-09-20,Breakfast,943.8,48.5,5.9,3.8,4.5,0.0,44.0,1202.1,430.7,117.1,23.4,36.5,50.4,35.4,16.3,38.3,83.4,
2012-09-20,Lunch,330.2,11.4,3.0,0.7,4.9,0.0,68.5,2039.8,901.9,21.4,4.3,10.4,35.9,299.0,154.6,22.3,16.4,
2012-09-20,Dinner,1451.4,55.7,20.4,5.7,22.7,2.1,211.8,1557.0,924.5,109.3,12.7,23.8,126.6,25.9,4.5,65.0,141.0,
2012-09-20,Snacks,85.0,2.6,1.3,0.0,1.0,0.0,7.5,101.3,43.8,15.0,0.9,5.6,1.3,1.9,0.0,0.3,13.3,
2012-09-21,Breakfast,819.8,36.0,5.9,3.5,4.5,0.0,44.0,1132.1,405.7,87.1,17.4,19.5,47.9,33.4,2.3,37.3,79.4,
2012-09-21,Lunch,539.9,14.1,4.1,0.2,6.3,0.0,288.0,519.3,3195.5,44.1,13.4,24.0,57.6,473.8,187.1,22.7,147.1,
2012-09-21,Dinner,944.2,68.8,6.0,2.0,4.2,0.0,21.5,742.5,135.8,51.1,10.4,3.7,17.9,4.3,13.3,16.3,19.0,
2012-09-21,Snacks,661.7,16.3,4.8,3.2,5.3,0.0,47.0,1036.9,201.3,74.5,9.3,18.5,61.5,20.1,3.5,46.6,87.1,
2012-09-22,Breakfast,1103.8,65.0,20.4,2.5,4.5,0.0,950.6,1345.4,1292.3,83.1,9.4,30.5,74.9,67.4,445.6,71.6,93.7,
2012-09-22,Lunch,335.0,16.9,1.3,1.0,0.0,0.0,0.0,350.0,100.0,37.3,11.5,4.9,16.1,0.0,0.0,7.0,19.0,
2012-09-22,Dinner,663.0,18.2,1.0,0.0,0.0,0.0,236.8,931.9,0.0,89.9,2.9,0.0,35.2,0.0,0.0,0.0,0.0,
2012-09-22,Snacks,866.3,19.9,6.4,3.7,6.0,0.0,58.8,1310.0,306.7,105.4,13.2,25.5,72.6,28.7,4.0,54.0,130.2,
2012-09-23,Breakfast,419.5,34.9,15.4,4.6,9.7,0.0,780.8,523.4,279.1,8.9,0.3,0.0,35.4,32.5,0.0,32.3,21.4,
2012-09-23,Lunch,774.8,31.0,4.9,3.5,4.5,0.0,24.0,1132.1,405.7,87.1,17.4,19.5,47.9,16.4,2.3,37.3,79.4,
2012-09-23,Dinner,665.0,49.5,19.3,0.6,6.6,0.0,330.0,1280.0,192.5,43.0,5.8,4.8,70.8,35.0,6.0,4.8,26.0,
2012-09-23,Snacks,995.5,26.4,8.8,4.8,8.1,0.0,86.3,1242.1,294.5,111.8,14.6,21.4,85.3,25.5,4.0,58.4,109.5,
2012-09-24,Breakfast,955.7,49.5,6.3,3.8,5.0,0.0,47.0,1228.6,444.0,115.2,22.0,37.3,51.8,37.5,16.6,41.9,87.8,
2012-09-24,Lunch,579.9,20.1,4.1,0.2,2.3,0.0,190.0,507.3,1828.5,22.1,8.4,7.0,71.6,471.8,159.1,22.7,55.1,
2012-09-24,Dinner,409.5,7.6,1.9,0.0,0.0,0.0,135.0,672.0,633.5,20.4,4.7,8.2,51.0,227.2,22.3,3.9,14.9,
2012-09-24,Snacks,1006.3,32.1,7.2,4.1,6.8,0.0,59.4,1423.8,291.3,111.7,17.1,27.5,80.1,23.0,4.0,58.3,112.0,
2012-09-25,Breakfast,871.7,37.5,6.3,3.8,5.0,0.0,47.0,1228.6,444.0,93.2,18.0,21.3,51.8,35.5,2.6,40.9,86.8,
2012-09-25,Lunch,362.4,19.2,5.5,1.6,3.0,0.0,16.1,397.8,111.7,41.3,10.3,4.5,14.0,3.7,0.0,4.4,17.4,
2012-09-25,Dinner,1026.6,26.5,8.8,4.6,8.4,0.0,80.2,1548.0,531.5,114.0,13.3,34.6,93.2,34.9,5.5,85.6,124.7,
2012-09-25,Snacks,390.9,34.1,12.4,4.2,13.1,0.0,769.6,466.3,281.2,0.8,0.0,0.0,32.5,31.0,0.0,23.1,16.0,
2012-09-26,Breakfast,953.8,52.3,6.3,3.5,4.5,0.0,44.0,1152.1,405.7,110.6,22.4,35.8,49.7,35.4,16.3,40.3,82.4,
2012-09-26,Lunch,356.7,13.3,2.8,3.4,4.0,0.1,10.0,496.7,176.7,52.0,11.3,7.7,17.0,7.0,0.0,2.7,43.0,
2012-09-26,Dinner,620.0,33.0,13.5,0.0,0.0,0.0,255.0,960.0,0.0,13.0,6.0,2.0,69.0,0.0,8.0,6.0,32.0,
2012-09-26,Snacks,739.3,13.8,4.5,2.5,4.5,0.0,55.1,997.3,377.0,54.6,5.4,18.9,51.0,19.1,3.6,44.9,60.7,
2012-09-27,Breakfast,724.8,26.8,4.5,3.5,4.5,0.0,24.0,1112.1,405.7,85.6,16.4,19.3,46.2,16.4,2.3,35.3,77.4,
2012-09-27,Lunch,587.1,15.9,3.3,0.2,2.3,0.0,102.5,1436.8,1585.8,62.3,10.4,42.3,48.8,472.8,178.3,21.0,41.3,
2012-09-27,Dinner,363.0,7.7,0.7,1.8,2.0,0.0,170.3,677.7,363.4,17.7,2.4,2.3,29.8,4.0,6.0,3.4,9.2,
2012-09-27,Snacks,634.8,14.0,3.4,3.5,4.5,0.0,34.0,1472.1,565.7,85.1,13.4,20.5,48.9,32.4,2.3,59.3,71.4,
2012-09-28,Breakfast,704.8,22.5,4.2,3.5,4.5,0.0,29.0,1302.1,485.7,86.1,15.4,20.0,48.4,24.4,2.3,48.3,75.4,
2012-09-28,Lunch,550.5,18.7,3.0,1.4,3.5,0.0,38.4,1450.7,2035.8,72.4,20.7,14.3,32.9,478.2,165.4,29.2,70.4,
2012-09-28,Dinner,922.3,45.4,13.4,2.2,11.4,0.0,87.2,1394.0,479.6,98.0,4.0,0.0,29.8,6.2,19.4,11.6,31.4,
2012-09-28,Snacks,756.3,18.6,5.4,3.6,6.0,0.0,53.8,1185.0,230.0,85.1,10.6,21.1,70.3,23.0,4.0,53.3,99.5,
2012-09-29,Breakfast,459.8,17.0,4.4,2.5,4.5,0.0,44.0,772.1,305.7,49.1,5.4,14.5,30.9,33.4,2.3,29.3,59.4,
2012-09-29,Lunch,711.3,22.5,9.4,0.0,0.0,0.2,42.9,1085.0,230.0,59.7,7.2,10.4,80.7,19.5,30.0,26.5,16.0,
2012-09-29,Dinner,703.9,39.0,15.1,1.0,13.6,1.9,178.0,896.3,2253.1,31.9,12.1,9.5,60.6,492.8,189.1,48.8,63.7,
2012-09-29,Snacks,770.0,21.7,7.7,3.4,4.8,0.1,61.8,1286.5,184.0,89.5,13.5,21.4,64.8,22.5,3.2,55.6,85.6,
2012-09-30,Breakfast,1031.0,57.8,23.7,5.9,13.2,0.0,960.8,1900.9,694.9,75.4,10.4,20.5,79.4,77.9,2.3,101.5,85.7,
2012-09-30,Lunch,345.0,14.5,7.3,1.0,0.0,0.2,40.0,702.5,0.0,42.5,10.0,8.3,18.3,9.0,0.0,31.0,12.0,
2012-09-30,Dinner,675.0,23.3,3.8,0.0,0.0,0.0,137.5,1335.0,0.0,52.0,8.0,6.0,69.5,0.0,8.0,0.0,30.0,
2012-09-30,Snacks,890.0,24.7,5.4,3.7,6.0,0.0,53.8,1281.7,306.7,106.9,14.1,26.1,73.0,28.0,4.0,56.0,144.5,
2012-10-01,Breakfast,1126.6,57.6,10.5,3.5,4.5,0.0,55.7,1277.1,815.7,128.9,22.9,52.1,58.4,45.2,18.6,70.2,84.3,
2012-10-01,Lunch,495.5,15.7,5.2,1.4,6.2,0.0,79.9,2416.5,1861.2,49.8,14.4,13.2,41.4,474.5,169.1,38.8,48.7,
2012-10-01,Dinner,550.4,26.0,9.5,1.4,9.7,1.4,118.7,831.6,725.6,38.6,4.3,9.2,39.3,7.8,25.3,9.5,29.1,
2012-10-01,Snacks,799.8,31.1,4.9,3.5,4.5,0.0,24.0,1168.4,434.5,93.1,18.3,20.1,48.7,18.3,2.3,37.6,90.7,
2012-10-02,Breakfast,929.8,39.3,8.0,3.9,4.5,0.2,59.0,1407.1,399.5,105.9,21.4,24.5,53.7,36.4,2.3,43.3,83.7,
2012-10-02,Lunch,565.2,16.1,2.1,0.2,2.3,0.0,187.3,837.3,1436.5,22.1,8.4,7.0,82.3,471.8,159.1,20.7,38.4,
2012-10-02,Snacks,1418.6,38.4,9.3,5.1,7.5,0.0,77.2,1922.1,755.0,165.4,22.8,43.4,107.0,42.6,9.0,106.4,158.2,
2012-10-03,Breakfast,1105.3,68.4,24.5,7.2,12.8,0.0,847.3,1639.2,574.9,76.5,13.1,18.2,80.9,70.4,2.3,85.7,90.7,
2012-10-03,Lunch,317.3,12.3,1.0,0.5,0.0,0.0,0.0,243.3,0.0,46.0,11.7,19.7,9.7,2.0,14.0,10.3,12.3,
2012-10-03,Dinner,363.0,4.7,0.0,0.0,0.0,0.0,109.5,0.0,330.0,0.0,0.0,0.0,40.1,0.0,0.0,0.0,0.0,
2012-10-03,Snacks,1007.8,23.3,6.8,4.5,7.5,0.0,67.2,1505.8,287.5,111.4,13.3,26.4,88.0,28.8,5.0,66.6,124.4,
2012-10-04,Breakfast,690.5,56.4,21.1,4.7,8.3,0.0,823.3,867.1,269.2,27.4,7.7,3.7,50.0,54.0,0.0,56.4,31.3,
2012-10-04,Lunch,893.5,25.2,7.0,2.7,6.8,0.0,192.8,2537.5,1945.2,76.7,13.8,25.0,100.9,492.2,161.4,62.0,108.0,
2012-10-04,Dinner,141.3,4.9,1.5,0.0,0.0,0.0,55.0,212.2,76.7,2.6,1.2,0.5,24.6,5.0,10.0,1.3,6.0,
2012-10-04,Snacks,1178.6,35.6,7.8,5.0,7.5,0.0,67.2,1724.6,287.5,130.4,21.0,30.1,97.5,28.8,5.0,75.9,135.7,
2012-10-05,Breakfast,704.2,58.6,22.6,4.7,8.3,0.0,830.8,912.1,269.2,27.6,7.7,3.7,51.7,55.5,0.0,61.4,31.3,
2012-10-05,Lunch,880.7,21.1,5.2,10.2,9.8,0.0,69.7,1017.5,1942.3,107.6,20.9,31.0,42.6,474.0,180.0,40.3,59.8,
2012-10-05,Dinner,377.6,3.7,0.1,0.3,0.1,0.0,73.0,4.9,385.6,35.0,3.0,1.2,33.2,0.1,0.0,0.5,5.5,
2012-10-05,Snacks,514.8,14.0,3.7,2.5,4.5,0.0,24.0,812.1,345.7,65.8,7.1,14.5,33.2,19.7,2.3,29.3,67.7,
2012-10-06,Breakfast,508.3,36.3,14.0,1.0,0.0,0.0,80.0,1293.3,0.0,50.0,14.7,10.7,28.7,45.0,20.0,53.3,17.3,
2012-10-06,Lunch,798.3,34.8,14.3,1.6,8.0,0.0,145.7,2634.5,1623.3,55.6,9.4,13.0,62.7,482.0,159.1,23.1,58.5,
2012-10-06,Dinner,754.9,29.3,10.7,0.6,2.6,0.0,64.9,938.3,123.6,63.7,1.2,4.1,20.7,10.5,15.8,39.5,5.6,
2012-10-06,Snacks,784.8,22.5,4.7,3.0,4.5,0.0,56.5,1044.6,400.7,100.6,17.4,38.5,52.9,18.9,19.8,46.1,70.7,
2012-10-07,Breakfast,659.8,26.5,5.2,3.0,4.5,0.0,44.0,1002.1,305.7,72.1,12.4,18.0,39.4,33.4,2.3,37.3,69.4,
2012-10-07,Lunch,636.7,41.5,10.2,9.1,16.0,0.0,495.6,2125.3,146.2,19.1,0.0,10.3,43.1,7.7,2.2,5.2,5.6,
2012-10-07,Dinner,468.0,27.8,6.9,0.0,2.6,3.8,50.0,1095.6,0.0,22.0,4.1,8.8,33.6,154.0,45.0,33.8,14.3,
2012-10-07,Snacks,1279.3,23.8,6.8,4.6,7.5,0.0,67.2,1626.3,402.5,152.4,20.8,44.9,90.8,38.3,19.0,68.6,170.4,
2012-10-08,Breakfast,782.5,48.7,21.3,3.3,10.7,0.0,564.2,2268.2,456.6,38.1,2.5,6.8,42.1,44.4,7.5,50.1,31.4,
2012-10-08,Lunch,581.7,34.1,3.3,0.0,0.0,0.0,17.0,1206.6,0.0,61.9,7.5,5.7,38.0,37.7,6.0,12.7,10.0,
2012-10-08,Dinner,756.0,31.6,6.4,9.3,6.8,0.0,73.6,1410.6,283.8,78.9,18.6,17.5,65.9,18.4,15.8,35.3,81.5,
2012-10-08,Snacks,526.8,12.0,3.4,2.5,4.5,0.0,24.0,772.1,305.7,78.4,10.7,35.8,30.9,19.1,21.0,30.6,60.7,
2012-10-09,Breakfast,852.3,36.4,7.0,3.4,5.9,0.0,52.0,1537.9,606.6,89.5,11.0,23.6,50.4,50.7,5.1,45.4,96.2,
2012-10-09,Lunch,531.3,12.2,4.4,0.8,3.7,0.0,90.3,3001.2,2131.2,51.8,11.9,26.3,50.4,480.5,184.1,43.5,47.8,
2012-10-09,Dinner,1010.1,29.2,10.8,3.8,7.6,0.0,285.9,1303.2,231.8,95.1,10.6,21.1,76.8,32.7,4.0,55.5,103.5,
2012-10-09,Snacks,340.0,16.5,1.8,3.5,2.0,0.0,0.0,350.0,0.0,42.0,9.0,3.5,10.5,0.0,0.0,10.0,10.0,
2012-10-10,Breakfast,560.9,37.8,10.4,4.7,8.3,0.0,770.8,538.8,269.2,24.6,7.0,3.5,36.5,43.5,0.0,20.1,30.0,
2012-10-10,Lunch,553.1,16.0,4.5,3.3,5.9,0.0,32.0,1029.4,407.6,65.4,7.2,19.3,41.2,21.9,3.0,39.0,79.2,
2012-10-10,Dinner,1269.4,48.9,13.4,3.8,7.3,0.0,358.2,1811.0,514.8,105.1,14.3,21.8,111.7,90.1,138.0,75.8,124.2,
2012-10-10,Snacks,375.0,18.3,2.1,4.3,2.5,0.0,0.0,380.0,0.0,46.8,9.5,3.5,11.0,0.0,0.0,10.5,10.0,
2012-10-11,Breakfast,560.9,37.8,10.4,4.7,8.3,0.0,770.8,538.8,269.2,24.6,7.0,3.5,36.5,43.5,0.0,20.1,30.0,
2012-10-11,Lunch,489.3,21.0,9.0,0.8,5.3,0.0,82.3,2179.8,1969.9,34.1,10.8,12.3,41.9,478.7,173.6,50.5,42.9,
2012-10-11,Dinner,420.0,9.8,3.8,0.0,0.0,0.0,97.5,69.0,334.0,0.0,0.0,0.0,39.0,17.9,0.0,1.5,22.5,
2012-10-11,Snacks,600.0,18.9,1.6,0.5,0.0,0.0,67.5,2330.0,0.0,50.3,8.5,4.5,59.5,0.0,0.0,10.0,34.5,
2012-10-12,Breakfast,789.8,37.9,6.0,3.0,4.5,0.0,44.0,1002.1,313.8,77.0,14.0,19.6,47.5,43.2,2.3,40.6,85.7,
2012-10-12,Lunch,607.4,34.5,11.2,3.8,15.4,0.0,80.1,2338.7,1933.0,31.0,8.7,9.4,42.6,474.0,162.4,29.0,44.7,
2012-10-12,Dinner,874.1,28.5,10.3,3.8,7.4,0.0,284.1,1288.4,231.6,86.1,10.6,21.1,76.4,32.3,4.0,55.5,103.5,
2012-10-12,Snacks,783.3,35.8,3.4,2.5,3.3,0.0,0.0,467.1,10.0,90.5,21.2,9.7,36.0,12.0,0.0,17.3,53.3,
2012-10-13,Breakfast,560.9,37.8,10.4,4.7,8.3,0.0,770.8,538.8,269.2,24.6,7.0,3.5,36.5,43.5,0.0,20.1,30.0,
2012-10-13,Lunch,492.5,19.9,2.1,0.1,0.1,0.0,0.0,304.4,1388.7,81.3,16.8,28.2,33.3,661.0,361.3,34.2,104.2,
2012-10-13,Dinner,620.0,5.6,0.9,0.7,1.2,0.0,79.3,84.1,238.9,77.0,9.0,3.0,40.5,0.4,0.0,1.4,20.4,
2012-10-13,Snacks,1294.7,44.2,11.7,5.8,8.9,0.0,257.1,1817.6,605.7,139.8,23.6,36.9,98.6,39.0,7.0,92.9,122.5,
2012-10-14,Breakfast,406.1,18.1,4.6,3.3,4.7,0.0,390.0,143.5,330.6,38.7,6.0,5.1,23.1,29.0,0.0,8.8,23.3,
2012-10-14,Lunch,423.2,16.4,6.9,0.2,1.1,0.0,530.1,288.0,305.3,19.5,5.0,6.8,50.7,14.5,0.5,27.9,8.1,
2012-10-14,Dinner,483.5,13.5,12.6,0.0,0.0,0.0,87.0,100.6,155.9,13.3,2.2,3.0,31.4,26.3,12.0,2.0,5.0,
2012-10-14,Snacks,1053.6,44.0,8.6,8.3,14.1,0.0,34.0,1578.4,537.0,108.5,19.2,30.9,72.3,29.4,4.3,56.3,92.9,
2012-10-15,Breakfast,770.9,49.1,15.2,6.0,10.5,0.3,616.4,650.8,231.7,50.1,11.0,20.5,40.6,54.3,14.0,29.2,33.9,
2012-10-15,Lunch,529.3,21.8,5.2,0.2,2.3,0.0,111.6,2176.1,1672.3,31.4,11.4,12.1,56.9,482.1,184.1,41.5,44.1,
2012-10-15,Dinner,451.0,16.3,6.9,0.7,4.9,0.0,67.7,1925.3,2110.4,42.1,14.3,13.4,44.6,499.4,210.4,51.8,49.6,
2012-10-15,Snacks,967.3,26.9,6.8,3.0,9.0,24.0,61.5,1313.4,673.2,109.9,13.9,29.5,74.9,28.9,5.3,63.8,81.9,
2012-10-16,Breakfast,1015.7,62.5,24.8,6.2,14.5,0.0,669.8,1628.4,507.9,75.3,11.4,19.5,75.4,65.9,2.3,82.4,82.4,
2012-10-16,Lunch,620.0,26.6,4.6,2.0,0.0,0.0,0.0,731.0,200.0,76.0,20.6,12.6,32.0,0.0,0.0,0.0,30.0,
2012-10-16,Dinner,290.8,37.9,1.0,2.4,3.3,0.0,2.5,53.8,315.8,42.1,5.8,4.6,11.8,5.2,1.0,10.2,13.8,
2012-10-16,Snacks,925.5,32.6,10.9,2.7,7.4,0.0,554.1,1094.3,725.8,79.7,12.0,27.6,84.3,31.5,3.0,63.4,69.1,
