Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Pounds,Steps,Note
2018-04-13,Fitbit calorie adjustment,Cardio,-354.0,1,,,,,
2018-04-14,Fitbit calorie adjustment,Cardio,-373.0,1,,,,,
2018-04-15,Fitbit calorie adjustment,Cardio,-353.0,1,,,,,
2018-04-16,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,324.0,25,,,,,
2018-04-16,Fitbit calorie adjustment,Cardio,-369.0,1,,,,,
2018-04-16,"Running (jogging), 8.6 mph (7 min mile)",Cardio,770.0,52,,,,,
2018-04-17,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,924.0,60,,,,,
2018-04-17,Fitbit calorie adjustment,Cardio,-163.0,1,,,,,
2018-04-18,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,1188.0,75,,,,,
2018-04-18,Fitbit calorie adjustment,Cardio,-441.0,1,,,,,
2018-04-19,Fitbit calorie adjustment,Cardio,-75.0,1,,,,,
2018-04-19,"Running (jogging), 8.6 mph (7 min mile)",Cardio,870.0,58,,,,,
2018-04-20,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,642.0,46,,,,,
2018-04-20,Fitbit calorie adjustment,Cardio,-157.0,1,,,,,
2018-04-21,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,2050.0,138,,,,,
2018-04-21,Fitbit calorie adjustment,Cardio,-905.0,1,,,,,
2018-04-22,Fitbit calorie adjustment,Cardio,-122.0,1,,,,,
2018-04-23,Fitbit calorie adjustment,Cardio,-181.0,1,,,,,
2018-04-23,"Running (jogging), 8.6 mph (7 min mile)",Cardio,1050.0,64,,,,,
2018-04-24,"Aerobics, general",Cardio,650.0,61,,,,,
2018-04-24,Fitbit calorie adjustment,Cardio,-249.0,1,,,,,
2018-04-25,Fitbit calorie adjustment,Cardio,-366.0,1,,,,,
2018-04-25,"Running (jogging), 8.6 mph (7 min mile)",Cardio,500.0,31,,,,,
2018-04-26,"Bicycling, >20 mph, racing (cycling, biking, bike riding)",Cardio,1400.0,89,,,,,
2018-04-26,Fitbit calorie adjustment,Cardio,-374.0,1,,,,,
2018-04-27,Fitbit calorie adjustment,Cardio,-152.0,1,,,,,
2018-04-27,"Running (jogging), 8 mph (7.5 min mile)",Cardio,580.0,40,,,,,
2018-04-28,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,2319.0,164,,,,,
2018-04-28,Fitbit calorie adjustment,Cardio,-508.0,1,,,,,
2018-04-29,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,1500.0,99,,,,,
2018-04-29,Fitbit calorie adjustment,Cardio,-859.0,1,,,,,
2018-04-29,"Running (jogging), 8.6 mph (7 min mile)",Cardio,1111.0,72,,,,,
2018-04-30,Fitbit calorie adjustment,Cardio,-373.0,1,,,,,
2018-05-01,Fitbit calorie adjustment,Cardio,-448.0,1,,,,,
2018-05-02,Fitbit calorie adjustment,Cardio,-410.0,1,,,,,
2018-05-03,Fitbit calorie adjustment,Cardio,-22.0,1,,,,,
2018-05-03,"Running (jogging), 9 mph (6.5 min mile)",Cardio,750.0,45,,,,,
2018-05-04,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,1200.0,76,,,,,
2018-05-04,Fitbit calorie adjustment,Cardio,-83.0,1,,,,,
2018-05-05,Fitbit calorie adjustment,Cardio,-463.0,1,,,,,
2018-05-06,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,2200.0,140,,,,,
2018-05-06,Fitbit calorie adjustment,Cardio,-471.0,1,,,,,
2018-05-07,Fitbit calorie adjustment,Cardio,-275.0,1,,,,,
2018-05-07,"Running (jogging), 9 mph (6.5 min mile)",Cardio,1270.0,77,,,,,
2018-05-08,Fitbit calorie adjustment,Cardio,41.0,1,,,,,
2018-05-09,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,847.0,61,,,,,
2018-05-09,Fitbit calorie adjustment,Cardio,-226.0,1,,,,,
2018-05-10,"Aerobics, general",Cardio,560.0,56,,,,,
2018-05-10,Fitbit calorie adjustment,Cardio,-354.0,1,,,,,
2018-05-10,"Running (jogging), 7.5 mph (8 min mile)",Cardio,850.0,59,,,,,
2018-05-11,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,848.0,61,,,,,
2018-05-11,Fitbit calorie adjustment,Cardio,-415.0,1,,,,,
2018-05-12,Fitbit calorie adjustment,Cardio,-226.0,1,,,,,
2018-05-13,Fitbit calorie adjustment,Cardio,-462.0,1,,,,,
2018-05-13,"Running (jogging), 7.5 mph (8 min mile)",Cardio,900.0,65,,,,,
2018-05-14,"Running (jogging), in place",Cardio,600.0,53,,,,,
2018-05-15,"Aerobics, general",Cardio,400.0,33,,,,,
2018-05-15,"Aerobics, general",Cardio,420.0,33,,,,,
2018-05-15,Fitbit calorie adjustment,Cardio,-595.0,1,,,,,
2018-05-16,Fitbit calorie adjustment,Cardio,-250.0,1,,,,,
2018-05-16,"Running (jogging), 8 mph (7.5 min mile)",Cardio,620.0,44,,,,,
2018-05-17,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,1066.0,75,,,,,
2018-05-17,Fitbit calorie adjustment,Cardio,-311.0,1,,,,,
2018-05-18,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,985.0,65,,,,,
2018-05-18,Fitbit calorie adjustment,Cardio,-442.0,1,,,,,
2018-05-19,Fitbit calorie adjustment,Cardio,-80.0,1,,,,,
2018-05-20,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,1823.0,123,,,,,
2018-05-20,Fitbit calorie adjustment,Cardio,-830.0,1,,,,,
2018-05-21,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,1761.0,134,,,,,
2018-05-21,Fitbit calorie adjustment,Cardio,-520.0,1,,,,,
2018-05-22,Fitbit calorie adjustment,Cardio,-443.0,1,,,,,
2018-05-23,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,903.0,60,,,,,
2018-05-23,Fitbit calorie adjustment,Cardio,-498.0,1,,,,,
2018-05-24,"Bicycling, >20 mph, racing (cycling, biking, bike riding)",Cardio,1458.0,109,,,,,
2018-05-24,Fitbit calorie adjustment,Cardio,-779.0,1,,,,,
2018-05-25,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,2120.0,165,,,,,
2018-05-25,Fitbit calorie adjustment,Cardio,-766.0,1,,,,,
2018-05-26,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,2000.0,155,,,,,
2018-05-26,Fitbit calorie adjustment,Cardio,-603.0,1,,,,,
2018-05-27,Fitbit calorie adjustment,Cardio,-511.0,1,,,,,
2018-05-27,"Running (jogging), 8 mph (7.5 min mile)",Cardio,1100.0,76,,,,,
2018-05-28,Fitbit calorie adjustment,Cardio,-34.0,1,,,,,
2018-05-29,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,866.0,61,,,,,
2018-05-29,Fitbit calorie adjustment,Cardio,-156.0,1,,,,,
2018-05-30,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,1409.0,90,,,,,
2018-05-30,Fitbit calorie adjustment,Cardio,-687.0,1,,,,,
2018-05-31,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,1853.0,120,,,,,
2018-05-31,Fitbit calorie adjustment,Cardio,-624.0,1,,,,,
2018-06-01,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,1065.0,75,,,,,
2018-06-01,Fitbit calorie adjustment,Cardio,-426.0,1,,,,,
2018-06-02,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,1274.0,75,,,,,
2018-06-02,Fitbit calorie adjustment,Cardio,-723.0,1,,,,,
2018-06-03,Fitbit calorie adjustment,Cardio,-600.0,1,,,,,
2018-06-04,"Bicycling, >20 mph, racing (cycling, biking, bike riding)",Cardio,2251.0,166,,,,,
2018-06-04,Fitbit calorie adjustment,Cardio,-669.0,1,,,,,
2018-06-05,Fitbit calorie adjustment,Cardio,-319.0,1,,,,,
2018-06-06,Fitbit calorie adjustment,Cardio,-611.0,1,,,,,
2018-06-06,"Running (jogging), 7.5 mph (8 min mile)",Cardio,700.0,47,,,,,
2018-06-07,Fitbit calorie adjustment,Cardio,-341.0,1,,,,,
2018-06-08,Fitbit calorie adjustment,Cardio,-162.0,1,,,,,
2018-06-08,"Running (jogging), 7 mph (8.5 min mile)",Cardio,670.0,50,,,,,
2018-06-09,Fitbit calorie adjustment,Cardio,-380.0,1,,,,,
2018-06-09,"Running (jogging), 8 mph (7.5 min mile)",Cardio,870.0,57,,,,,
2018-06-10,Fitbit calorie adjustment,Cardio,-520.0,1,,,,,
2018-06-10,"Running (jogging), 7.5 mph (8 min mile)",Cardio,980.0,73,,,,,
2018-06-11,"Aerobics, general",Cardio,650.0,51,,,,,
2018-06-11,Fitbit calorie adjustment,Cardio,-538.0,1,,,,,
2018-06-12,Fitbit calorie adjustment,Cardio,-413.0,1,,,,,
2018-06-12,"Running (jogging), 7 mph (8.5 min mile)",Cardio,750.0,54,,,,,
2018-06-13,"Bicycling, 14-16 mph, vigorous (cycling, biking, bike riding)",Cardio,1709.0,170,,,,,
2018-06-13,Fitbit calorie adjustment,Cardio,-867.0,1,,,,,
2018-06-14,Fitbit calorie adjustment,Cardio,-219.0,1,,,,,
2018-06-14,"Running (jogging), 8.6 mph (7 min mile)",Cardio,725.0,47,,,,,
2018-06-15,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,1104.0,126,,,,,
2018-06-15,Fitbit calorie adjustment,Cardio,-786.0,1,,,,,
2018-06-16,Fitbit calorie adjustment,Cardio,-322.0,1,,,,,
2018-06-16,"Walking, 3.5 mph, brisk pace",Cardio,893.0,174,,,,,
2018-06-17,Fitbit calorie adjustment,Cardio,-2028.0,1,,,,,
2018-06-17,"Running (jogging), 7.5 mph (8 min mile)",Cardio,1300.0,97,,,,,
2018-06-17,"Running (jogging), 7.5 mph (8 min mile)",Cardio,170.0,97,,,,,
2018-06-18,"Aerobics, general",Cardio,600.0,60,,,,,
2018-06-18,Fitbit calorie adjustment,Cardio,-590.0,1,,,,,
2018-06-19,Fitbit calorie adjustment,Cardio,-800.0,1,,,,,
2018-06-19,"Running (jogging), in place",Cardio,1250.0,149,,,,,
2018-06-20,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,882.0,60,,,,,
2018-06-20,Fitbit calorie adjustment,Cardio,-255.0,1,,,,,
2018-06-21,"Bicycling, 14-16 mph, vigorous (cycling, biking, bike riding)",Cardio,415.0,38,,,,,
2018-06-21,"Bicycling, 14-16 mph, vigorous (cycling, biking, bike riding)",Cardio,298.0,34,,,,,
2018-06-21,Fitbit calorie adjustment,Cardio,-900.0,1,,,,,
2018-06-21,"Running (jogging), in place",Cardio,303.0,79,,,,,
2018-06-22,"Aerobics, general",Cardio,500.0,46,,,,,
2018-06-22,Fitbit calorie adjustment,Cardio,-485.0,1,,,,,
2018-06-23,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,2896.0,204,,,,,
2018-06-23,Fitbit calorie adjustment,Cardio,-829.0,1,,,,,
2018-06-24,Fitbit calorie adjustment,Cardio,-930.0,1,,,,,
2018-06-24,"Running (jogging), 7.5 mph (8 min mile)",Cardio,1150.0,78,,,,,
2018-06-25,"Aerobics, general",Cardio,440.0,56,,,,,
2018-06-25,Fitbit calorie adjustment,Cardio,-260.0,1,,,,,
2018-06-26,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,383.0,44,,,,,
2018-06-26,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,588.0,46,,,,,
2018-06-26,Fitbit calorie adjustment,Cardio,-732.0,1,,,,,
2018-06-26,"Running (jogging), 5.2 mph (11.5 min mile)",Cardio,700.0,61,,,,,
2018-06-27,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,1303.0,118,,,,,
2018-06-27,Fitbit calorie adjustment,Cardio,-1005.0,1,,,,,
2018-06-28,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,456.0,45,,,,,
2018-06-28,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,608.0,51,,,,,
2018-06-28,Fitbit calorie adjustment,Cardio,-588.0,1,,,,,
2018-06-29,"Aerobics, general",Cardio,1000.0,84,,,,,
2018-06-29,Fitbit calorie adjustment,Cardio,-683.0,1,,,,,
2018-06-30,Fitbit calorie adjustment,Cardio,-666.0,1,,,,,
2018-06-30,"Walking, 3.5 mph, brisk pace",Cardio,890.0,119,,,,,
2018-07-01,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,2481.0,187,,,,,
2018-07-01,Fitbit calorie adjustment,Cardio,-400.0,1,,,,,
2018-07-02,"Aerobics, general",Cardio,800.0,76,,,,,
2018-07-02,Fitbit calorie adjustment,Cardio,-391.0,1,,,,,
2018-07-03,Fitbit calorie adjustment,Cardio,-837.0,1,,,,,
2018-07-03,"Running (jogging), 8 mph (7.5 min mile)",Cardio,1700.0,108,,,,,
2018-07-04,Fitbit calorie adjustment,Cardio,-35.0,1,,,,,
2018-07-05,"Aerobics, general",Cardio,1100.0,91,,,,,
2018-07-05,Fitbit calorie adjustment,Cardio,-128.0,1,,,,,
2018-07-06,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,3014.0,241,,,,,
2018-07-06,Fitbit calorie adjustment,Cardio,-1018.0,1,,,,,
2018-07-07,"Aerobics, general",Cardio,900.0,83,,,,,
2018-07-07,Fitbit calorie adjustment,Cardio,46.0,1,,,,,
2018-07-08,Fitbit calorie adjustment,Cardio,-223.0,1,,,,,
2018-07-08,"Running (jogging), 7.5 mph (8 min mile)",Cardio,600.0,42,,,,,
2018-07-09,Fitbit calorie adjustment,Cardio,-286.0,1,,,,,
2018-07-10,"Aerobics, general",Cardio,750.0,68,,,,,
2018-07-10,Fitbit calorie adjustment,Cardio,-777.0,1,,,,,
2018-07-10,"Running (jogging), 5 mph (12 min mile)",Cardio,488.0,40,,,,,
2018-07-11,"Bicycling, 14-16 mph, vigorous (cycling, biking, bike riding)",Cardio,2043.0,164,,,,,
2018-07-11,Fitbit calorie adjustment,Cardio,-670.0,1,,,,,
2018-07-12,"Aerobics, general",Cardio,700.0,73,,,,,
2018-07-12,Fitbit calorie adjustment,Cardio,-760.0,1,,,,,
2018-07-12,"Running (jogging), 5 mph (12 min mile)",Cardio,613.0,50,,,,,
2018-07-13,Fitbit calorie adjustment,Cardio,-667.0,1,,,,,
2018-07-13,"Walking, 3.5 mph, brisk pace",Cardio,587.0,130,,,,,
2018-07-14,"Bicycling, 14-16 mph, vigorous (cycling, biking, bike riding)",Cardio,6405.0,453,,,,,
2018-07-14,Fitbit calorie adjustment,Cardio,-1428.0,1,,,,,
2018-07-15,Fitbit calorie adjustment,Cardio,-829.0,1,,,,,
2018-07-15,"Running (jogging), 7 mph (8.5 min mile)",Cardio,670.0,42,,,,,
2018-07-16,"Aerobics, general",Cardio,700.0,67,,,,,
2018-07-16,Fitbit calorie adjustment,Cardio,115.0,1,,,,,
2018-07-17,"Bicycling, 14-16 mph, vigorous (cycling, biking, bike riding)",Cardio,382.0,48,,,,,
2018-07-17,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,538.0,43,,,,,
2018-07-17,Fitbit calorie adjustment,Cardio,-1024.0,1,,,,,
2018-07-17,"Running (jogging), 6.7 mph (9 min mile)",Cardio,845.0,72,,,,,
2018-07-18,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,2955.0,234,,,,,
2018-07-18,Fitbit calorie adjustment,Cardio,-1040.0,1,,,,,
2018-07-19,"Aerobics, general",Cardio,650.0,70,,,,,
2018-07-19,Fitbit calorie adjustment,Cardio,-738.0,1,,,,,
2018-07-19,"Running (jogging), 7 mph (8.5 min mile)",Cardio,1420.0,105,,,,,
2018-07-20,"Aerobics, general",Cardio,600.0,52,,,,,
2018-07-20,Fitbit calorie adjustment,Cardio,-335.0,1,,,,,
2018-07-21,Fitbit calorie adjustment,Cardio,-1020.0,1,,,,,
2018-07-21,"Running (jogging), in place",Cardio,1295.0,164,,,,,
2018-07-22,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,3561.0,245,,,,,
2018-07-22,Fitbit calorie adjustment,Cardio,-1139.0,1,,,,,
2018-07-23,"Aerobics, general",Cardio,780.0,70,,,,,
2018-07-23,Fitbit calorie adjustment,Cardio,-195.0,1,,,,,
2018-07-24,Fitbit calorie adjustment,Cardio,-789.0,1,,,,,
2018-07-24,"Running (jogging), 5.2 mph (11.5 min mile)",Cardio,725.0,70,,,,,
2018-07-25,"Bicycling, <10 mph, leisure (cycling, biking, bike riding)",Cardio,2602.0,222,,,,,
2018-07-25,Fitbit calorie adjustment,Cardio,-888.0,1,,,,,
2018-07-26,"Aerobics, general",Cardio,900.0,101,,,,,
2018-07-26,Fitbit calorie adjustment,Cardio,-726.0,1,,,,,
2018-07-26,"Running (jogging), 5.2 mph (11.5 min mile)",Cardio,601.0,51,,,,,
2018-07-27,Fitbit calorie adjustment,Cardio,-142.0,1,,,,,
2018-07-28,Fitbit calorie adjustment,Cardio,-588.0,1,,,,,
2018-07-28,"Running (jogging), 8.6 mph (7 min mile)",Cardio,900.0,53,,,,,
2018-07-29,Fitbit calorie adjustment,Cardio,-443.0,1,,,,,
2018-07-29,"Running (jogging), 7 mph (8.5 min mile)",Cardio,850.0,59,,,,,
2018-07-30,"Bicycling, >20 mph, racing (cycling, biking, bike riding)",Cardio,1100.0,69,,,,,
2018-07-30,Fitbit calorie adjustment,Cardio,-558.0,1,,,,,
2018-07-31,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,2852.0,197,,,,,
2018-07-31,Fitbit calorie adjustment,Cardio,-642.0,1,,,,,
2018-08-01,Fitbit calorie adjustment,Cardio,-799.0,1,,,,,
2018-08-01,"Running (jogging), 9 mph (6.5 min mile)",Cardio,800.0,47,,,,,
2018-08-02,Fitbit calorie adjustment,Cardio,-260.0,1,,,,,
2018-08-03,Fitbit calorie adjustment,Cardio,-619.0,1,,,,,
2018-08-03,"Running (jogging), 5.2 mph (11.5 min mile)",Cardio,550.0,44,,,,,
2018-08-04,Fitbit calorie adjustment,Cardio,-580.0,1,,,,,
2018-08-04,"Running (jogging), 10 mph (6 min mile)",Cardio,1000.0,40,,,,,
2018-08-05,Fitbit calorie adjustment,Cardio,-672.0,1,,,,,
2018-08-05,"Running (jogging), 7 mph (8.5 min mile)",Cardio,1486.0,108,,,,,
2018-08-06,Fitbit calorie adjustment,Cardio,-827.0,1,,,,,
2018-08-07,Fitbit calorie adjustment,Cardio,-601.0,1,,,,,
2018-08-07,"Running (jogging), 7 mph (8.5 min mile)",Cardio,1200.0,79,,,,,
2018-08-08,Fitbit calorie adjustment,Cardio,-515.0,1,,,,,
2018-08-08,"Running (jogging), 8.6 mph (7 min mile)",Cardio,866.0,59,,,,,
2018-08-09,"Bicycling, 14-16 mph, vigorous (cycling, biking, bike riding)",Cardio,1766.0,127,,,,,
2018-08-09,Fitbit calorie adjustment,Cardio,-911.0,1,,,,,
2018-08-09,"Running (jogging), 5.2 mph (11.5 min mile)",Cardio,777.0,51,,,,,
2018-08-10,"Bicycling, 14-16 mph, vigorous (cycling, biking, bike riding)",Cardio,1000.0,53,,,,,
2018-08-10,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,700.0,50,,,,,
2018-08-10,Fitbit calorie adjustment,Cardio,-445.0,1,,,,,
2018-08-11,Fitbit calorie adjustment,Cardio,-580.0,1,,,,,
2018-08-11,"Running (jogging), 8 mph (7.5 min mile)",Cardio,1150.0,80,,,,,
2018-08-12,"Bicycling, 16-20 mph, very fast (cycling, biking, bike riding)",Cardio,2563.0,180,,,,,
2018-08-12,Fitbit calorie adjustment,Cardio,-611.0,1,,,,,
2018-08-13,"Aerobics, general",Cardio,659.0,63,,,,,
2018-08-13,Fitbit calorie adjustment,Cardio,-919.0,1,,,,,
