Timestamp,Which building do you primarily work in?,Which printer(s) do you use the most?,How often do you need to print in color?,What do you like about our printers?,How could we make your printing experience better?,Is there any other feedback that you would like to submit?
12/16/2024 12:57:41,Middle School,"MS Faculty Lounge, MS Office (Sarah)",3,"Ability to scan for archiving/pdf, and emailing. I also like the ability to zoom and reduce for art projects.",A small shared system for STEAM and Art Dept in the MS so we don't have to keep using Sarah's printer,
12/16/2024 12:58:35,High School,HS Faculty Lounge,3,Easy to use. Has always worked well for my needs.,The athletic department would love to have our own prtinter! :),Our IT department is fantastic!
12/16/2024 13:01:02,High School,"HS Faculty Lounge, HS Library",4,I love our printers here at SMA. Especially the one in the library that prints in color. ,A printer in the athletics office :) It can be IT and Athletics printer. Genius! ,You guys are awesome. Thank you for all that you do!
12/16/2024 13:02:21,Lower School,LS Faculty Lounge,5,Everything,Add a rainbow to every page,"No, I truly like our printers. "
12/16/2024 13:11:52,Sanders House,SH Mailroom,3,Works for me! :),If admissions could have a colored printer for events.,CBS is a wonderful company! 
12/16/2024 13:35:43,Middle School,"MS Faculty Lounge, MS Office (Sarah)",2,Scans and prints quickly; love the staple feature and double-sided feature.,"I would love a booklet/pamphlet feature--print, staple, fold a 8.5x11 into a booklet. We would LOVE a rainbow of copy paper in the middle school (could enhance learning and organization for students to have handouts in various colors). I would print more in color if it was available, but I get the sense that we reserve color printing for whenever necessary.","As the language arts teacher, it is laborious for me to have students print their own work. Their iPads are not connected to a printer, so if I want them to print a paper copy, they have to share the document with me, and then I send it to the printer. Then, I ask the student to pick it up from the main office which can be annoying to Sarah Powell. I wonder if student iPads could be connected to a printer and allowed to print themselves. (However, that would still mean that students would go to the office for their papers.) Or could the sixth-grade pod have a printer in the pod or in one of our classrooms? Even if students had to share their documents with a teacher, they could pick up their work without bugging Sarah. Adding permission for students to print and/or adding a printer in the sixth grade pod would be really helpful! "
12/16/2024 13:41:40,Lower School,"LS Faculty Lounge, LS Office (Jackie)",3,They print,They cut off a lot of content on the top and bottoms of our pages,The part about cutting pages off is my biggest feedback to you. Thank you!
12/16/2024 14:04:10,Lower School,"LS Faculty Lounge, LS Office (Jackie)",4,it can print stapled or hole punched,the LS printer in the faculty lounge frequently breaks and when its not broken there are black streaks being printed on the paper ,
12/16/2024 14:06:32,Middle School,"MS Faculty Lounge, MS Office (Sarah)",2,,"color printer in the middle school where students can access it (instead of having to go to Sara P - this is bothersome to her (my words, not hers) but sometimes there may be other sensitive docs in her printer that a student picking up their color copy may see",Thanks for being such a proactive and helpful IT department! 
12/16/2024 14:57:57,Middle School,MS Faculty Lounge,3,"I really appreciate how reliable the Kyocera TASKalfa 7003i in the middle school faculty lounge is for my printing needs. It handles large print jobs efficiently, and the print quality is consistently excellent, especially for the black-and-white classwork and homework handouts I use frequently. The speed and ease of use make it a valuable tool in keeping up with my teaching materials. Thank you for maintaining such a dependable resource for us!","While I’m generally very happy with the Kyocera TASKalfa 7003i, a couple of improvements would make my printing experience even better. It would be helpful if the printer had an option for a 'favorites' or 'quick settings' menu to save frequently used print preferences like black-and-white, double-sided, or specific paper sizes. Additionally, ensuring the printer trays are always stocked with the appropriate paper would help avoid interruptions during busy times. If possible, quicker troubleshooting or clearer error messages, when there's a paper jam or toner issue, would also be a great improvement!","Thank you for taking the time to gather our feedback! In addition to the suggestions I’ve shared, I’d like to mention that having regular updates about toner levels or maintenance schedules for the Kyocera printer would be helpful. This way, we can avoid unexpected downtime during peak usage. I really appreciate all the work the IT department does to keep things running smoothly!"
12/16/2024 15:14:23,Sanders House,SH Advancement,5,That they exist,"The Advancement printer is not up to standards for what Marcom/Advancement uses it for. We use often for designed pieces and need a heavy duty printer. It should be able to: staple, staple in the binding, hole punch, print at high capacity, scan at high quality.","This is Kerra; I have a lot of opinions on printers and happy to share. Also, the printer is in a weird place. Is there a better location where we would not bother Advancement every time we need to print. They also end up being the ones who trouble shoot basic things. And thank you so much for asking!!!! "
12/16/2024 15:51:43,Lower School,"LS Faculty Lounge, LS Office (Jackie)",3,"I appreciate the options to print in color or B/W, and they are conveniently located in the Lower School.",nothing,"No, but thanks for all you do."
12/16/2024 21:29:10,Lower School,"Community Center Hallway, LS Faculty Lounge, MS Faculty Lounge",2,"I try not to print large quantities in color, but I love having a color printer available for small projects.",No-one ever quite knows what to do when the Community Center hallway printer needs a toner change or teach support. Maybe some signage instructing us what to do would help?,"I'm happy to help with this: let's keep recycling bins near printers, and trash bins not near printers. Thanks for taking care of our tech!"
